ChargingStationID,Lat,Long,Availability,LastStateCheckTimestamp,ProviderID,Postcode
1,51.5006600,-0.4248530,1,2020-01-0100:00:00,pro-1,UB34AZ
2,51.6054410,-0.0670680,1,2020-01-0100:00:00,pro-2,N170TX
3,51.5007060,-0.4246710,1,2020-01-0100:00:00,pro-3,UB34AZ
4,51.3368092,-0.1141119,1,2020-01-0100:00:00,pro-4,CR22AP
5,51.5004810,-0.4255360,1,2020-01-0100:00:00,pro-5,UB34AZ
6,51.4926510,-0.2018110,1,2020-01-0100:00:00,pro-6,W148PB
7,51.5003660,-0.4254170,1,2020-01-0100:00:00,pro-7,UB34AZ
8,51.4902170,0.02330700,1,2020-01-0100:00:00,pro-8,SE77SX
9,51.5005990,-0.4254910,1,2020-01-0100:00:00,pro-9,UB34AZ
10,51.5665890,-0.5030630,1,2020-01-0100:00:00,pro-10,UB94HD
11,51.5004880,-0.4255750,1,2020-01-0100:00:00,pro-11,UB34AZ
12,51.5335750,-0.1724230,1,2020-01-0100:00:00,pro-12,NW89SG
13,51.5007930,-0.4252710,1,2020-01-0100:00:00,pro-13,UB34AZ
14,51.4633450,-0.4257920,1,2020-01-0100:00:00,pro-14,TW149QS
15,51.4892080,0.02719100,1,2020-01-0100:00:00,pro-15,SE77SA
16,51.4119630,-0.1229790,1,2020-01-0100:00:00,pro-16,SW163RW
